,stock,day,open,close,high,low,volume
1968,VNINDEX,2024_11_18,1218.3,1217.12,1225.38,1204.6,13347826448000.0
1969,VNINDEX,2024_11_19,1220.68,1205.15,1221.4,1205.15,11353224165000.0
1970,VNINDEX,2024_11_20,1203.71,1216.54,1222.73,1197.99,15192734833000.0
1971,VNINDEX,2024_11_21,1217.3,1228.33,1228.55,1214.06,10541003026000.0
1972,VNINDEX,2024_11_22,1228.95,1228.1,1233.42,1226.33,10522806395000.0
1973,VNINDEX,2024_11_25,1229.39,1234.7,1236.57,1229.02,9258923484000.0
1974,VNINDEX,2024_11_26,1235.63,1242.13,1246.83,1235.22,11227311086000.0
1975,VNINDEX,2024_11_27,1241.36,1241.97,1245.34,1239.23,9264171579000.0
1976,VNINDEX,2024_11_28,1246.37,1242.11,1250.46,1240.91,9478073656000.0
1977,VNINDEX,2024_11_29,1242.51,1250.46,1250.92,1241.0,11541504098000.0
1978,VNINDEX,2024_12_02,1255.73,1251.21,1258.05,1247.74,9519481230000.0
1979,VNINDEX,2024_12_03,1251.43,1249.83,1253.83,1244.91,11468399881000.0
1980,VNINDEX,2024_12_04,1247.34,1240.41,1247.78,1239.82,11953655109000.0
1981,VNINDEX,2024_12_05,1241.81,1267.53,1269.18,1238.49,19193114355000.0
1982,VNINDEX,2024_12_06,1270.96,1270.14,1276.1,1268.58,15355663975000.0
1983,VNINDEX,2024_12_09,1271.46,1273.84,1277.69,1268.69,12815439176000.0
1984,VNINDEX,2024_12_10,1274.29,1272.07,1277.32,1270.32,11547315212000.0
1985,VNINDEX,2024_12_11,1273.23,1268.86,1276.67,1264.15,11815476040000.0
1986,VNINDEX,2024_12_12,1270.86,1267.35,1275.64,1265.99,11633045338000.0
1987,VNINDEX,2024_12_13,1264.98,1262.57,1266.55,1260.48,9455673168000.0
1988,VNINDEX,2024_12_16,1264.03,1263.79,1267.1,1258.65,9226406632000.0
1989,VNINDEX,2024_12_17,1264.91,1261.72,1265.45,1260.6,8719794750000.0
1990,VNINDEX,2024_12_18,1262.57,1266.0,1266.53,1261.49,8844305201000.0
1991,VNINDEX,2024_12_19,1256.9,1254.67,1259.76,1249.39,15395789124000.0
1992,VNINDEX,2024_12_20,1255.6,1257.5,1259.0,1253.9,10545902094000.0
1993,VNINDEX,2024_12_23,1262.45,1262.76,1265.2,1261.62,9275265636000.0
1994,VNINDEX,2024_12_24,1263.03,1260.36,1263.05,1253.78,12063385611000.0
1995,VNINDEX,2024_12_25,1262.03,1274.04,1283.09,1261.87,16511975881000.0
1996,VNINDEX,2024_12_26,1275.68,1272.87,1277.17,1271.99,10640860213000.0
1997,VNINDEX,2024_12_27,1275.56,1275.14,1277.89,1272.23,13666626551000.0
1998,VNINDEX,2024_12_30,1273.75,1272.02,1274.15,1268.77,10012299176000.0
1999,VNINDEX,2024_12_31,1272.25,1266.78,1272.46,1266.78,9570629816000.0
2000,VNINDEX,2025_01_02,1268.96,1269.71,1271.13,1263.25,8804665337000.0
2001,VNINDEX,2025_01_03,1268.74,1254.59,1269.01,1254.59,12022888527000.0
2002,VNINDEX,2025_01_06,1254.79,1246.35,1260.37,1244.87,12168043595000.0
2003,VNINDEX,2025_01_07,1249.19,1246.95,1254.09,1243.06,11754845538000.0
2004,VNINDEX,2025_01_08,1246.16,1251.02,1251.02,1239.67,8500564943000.0
2005,VNINDEX,2025_01_09,1250.56,1245.77,1253.26,1242.9,6617680848000.0
2006,VNINDEX,2025_01_10,1245.68,1230.48,1247.8,1230.48,10437208841000.0
2007,VNINDEX,2025_01_13,1226.66,1235.65,1235.65,1220.87,9287117539000.0
2008,VNINDEX,2025_01_14,1234.77,1229.07,1235.54,1226.7,7132273378000.0
2009,VNINDEX,2025_01_15,1233.29,1236.18,1237.46,1231.13,8451886898000.0
2010,VNINDEX,2025_01_16,1241.74,1242.36,1245.4,1235.56,9440235469000.0
2011,VNINDEX,2025_01_17,1242.38,1249.11,1249.11,1239.63,8206581938000.0
2012,VNINDEX,2025_01_20,1250.03,1249.55,1253.02,1247.5,7786868958000.0
2013,VNINDEX,2025_01_21,1252.75,1246.09,1254.17,1243.08,8512991887000.0
2014,VNINDEX,2025_01_22,1248.26,1242.53,1249.14,1242.53,9324672260000.0
2015,VNINDEX,2025_01_23,1245.59,1259.63,1263.59,1244.77,11924315162000.0
2016,VNINDEX,2025_01_24,1259.26,1265.05,1265.38,1258.46,11104072196000.0
2017,VNINDEX,2025_02_03,1259.09,1253.03,1259.09,1249.78,12804380594000.0
2018,VNINDEX,2025_02_04,1256.91,1264.68,1264.68,1255.44,13052051346000.0
2019,VNINDEX,2025_02_05,1268.43,1269.61,1271.8,1266.18,11917470546000.0
2020,VNINDEX,2025_02_06,1273.58,1271.48,1275.47,1268.28,11943438424000.0
2021,VNINDEX,2025_02_07,1271.98,1275.2,1279.35,1269.11,12549440034000.0
2022,VNINDEX,2025_02_10,1272.27,1263.26,1274.47,1263.26,17271470328000.0
2023,VNINDEX,2025_02_11,1265.44,1268.45,1268.45,1263.11,12731664986000.0
2024,VNINDEX,2025_02_12,1270.83,1266.91,1272.86,1266.59,10140948391000.0
2025,VNINDEX,2025_02_13,1267.25,1270.35,1270.67,1263.85,10841434113000.0
2026,VNINDEX,2025_02_14,1277.52,1276.08,1280.6,1274.0,13916727125000.0
